Date,Season,Team,Opponent,HomeFlag,GF,GA,Manager,ManagerStart,ManagerEnd,MatchNumMgr,Window1,Window2,Window3
10/24/2015,2015/2016,Arsenal,Everton,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,148,0,0,0
10/31/2015,2015/2016,Arsenal,Swansea City,0,3,0,ARSENE WENGER,1/10/1996,5/13/2018,149,0,0,0
11/8/2015,2015/2016,Arsenal,Tottenham,1,1,1,ARSENE WENGER,1/10/1996,5/13/2018,150,0,0,0
11/21/2015,2015/2016,Arsenal,West Brom,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,151,0,0,0
11/29/2015,2015/2016,Arsenal,Norwich City,0,1,1,ARSENE WENGER,1/10/1996,5/13/2018,152,0,0,0
12/5/2015,2015/2016,Arsenal,Sunderland,1,3,1,ARSENE WENGER,1/10/1996,5/13/2018,153,0,0,0
12/13/2015,2015/2016,Arsenal,Aston Villa,0,2,0,ARSENE WENGER,1/10/1996,5/13/2018,154,0,0,0
12/21/2015,2015/2016,Arsenal,Manchester City,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,155,0,0,0
12/26/2015,2015/2016,Arsenal,Southampton,0,0,4,ARSENE WENGER,1/10/1996,5/13/2018,156,0,0,0
12/28/2015,2015/2016,Arsenal,Bournemouth,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,157,0,0,0
1/2/2016,2015/2016,Arsenal,Newcastle Utd,1,1,0,ARSENE WENGER,1/10/1996,5/13/2018,158,0,0,0
1/13/2016,2015/2016,Arsenal,Liverpool,0,3,3,ARSENE WENGER,1/10/1996,5/13/2018,159,0,0,0
1/17/2016,2015/2016,Arsenal,Stoke City,0,0,0,ARSENE WENGER,1/10/1996,5/13/2018,160,0,0,0
1/24/2016,2015/2016,Arsenal,Chelsea,1,0,1,ARSENE WENGER,1/10/1996,5/13/2018,161,0,0,0
2/2/2016,2015/2016,Arsenal,Southampton,1,0,0,ARSENE WENGER,1/10/1996,5/13/2018,162,0,0,0
2/7/2016,2015/2016,Arsenal,Bournemouth,0,2,0,ARSENE WENGER,1/10/1996,5/13/2018,163,0,0,0
2/14/2016,2015/2016,Arsenal,Leicester City,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,164,0,0,0
2/28/2016,2015/2016,Arsenal,Manchester Utd,0,2,3,ARSENE WENGER,1/10/1996,5/13/2018,165,0,0,0
3/2/2016,2015/2016,Arsenal,Swansea City,1,1,2,ARSENE WENGER,1/10/1996,5/13/2018,166,0,0,0
3/5/2016,2015/2016,Arsenal,Tottenham,0,2,2,ARSENE WENGER,1/10/1996,5/13/2018,167,0,0,0
3/19/2016,2015/2016,Arsenal,Everton,0,2,0,ARSENE WENGER,1/10/1996,5/13/2018,168,0,0,0
4/2/2016,2015/2016,Arsenal,Watford,1,4,0,ARSENE WENGER,1/10/1996,5/13/2018,169,0,0,0
4/9/2016,2015/2016,Arsenal,West Ham,0,3,3,ARSENE WENGER,1/10/1996,5/13/2018,170,0,0,0
4/17/2016,2015/2016,Arsenal,Crystal Palace,1,1,1,ARSENE WENGER,1/10/1996,5/13/2018,171,0,0,0
4/21/2016,2015/2016,Arsenal,West Brom,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,172,0,0,0
4/24/2016,2015/2016,Arsenal,Sunderland,0,0,0,ARSENE WENGER,1/10/1996,5/13/2018,173,0,0,0
4/30/2016,2015/2016,Arsenal,Norwich City,1,1,0,ARSENE WENGER,1/10/1996,5/13/2018,174,0,0,0
5/8/2016,2015/2016,Arsenal,Manchester City,0,2,2,ARSENE WENGER,1/10/1996,5/13/2018,175,0,0,0
5/15/2016,2015/2016,Arsenal,Aston Villa,1,4,0,ARSENE WENGER,1/10/1996,5/13/2018,176,0,0,0
8/14/2016,2016/2017,Arsenal,Liverpool,1,3,4,ARSENE WENGER,1/10/1996,5/13/2018,177,0,0,0
8/20/2016,2016/2017,Arsenal,Leicester City,0,0,0,ARSENE WENGER,1/10/1996,5/13/2018,178,0,0,0
8/27/2016,2016/2017,Arsenal,Watford,0,3,1,ARSENE WENGER,1/10/1996,5/13/2018,179,0,0,0
9/10/2016,2016/2017,Arsenal,Southampton,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,180,0,0,0
9/17/2016,2016/2017,Arsenal,Hull City,0,4,1,ARSENE WENGER,1/10/1996,5/13/2018,181,0,0,0
9/24/2016,2016/2017,Arsenal,Chelsea,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,182,0,0,0
10/2/2016,2016/2017,Arsenal,Burnley,0,1,0,ARSENE WENGER,1/10/1996,5/13/2018,183,0,0,0
10/15/2016,2016/2017,Arsenal,Swansea City,1,3,2,ARSENE WENGER,1/10/1996,5/13/2018,184,0,0,0
10/22/2016,2016/2017,Arsenal,Middlesbrough,1,0,0,ARSENE WENGER,1/10/1996,5/13/2018,185,0,0,0
10/29/2016,2016/2017,Arsenal,Sunderland,0,4,1,ARSENE WENGER,1/10/1996,5/13/2018,186,0,0,0
11/6/2016,2016/2017,Arsenal,Tottenham,1,1,1,ARSENE WENGER,1/10/1996,5/13/2018,187,0,0,0
11/19/2016,2016/2017,Arsenal,Manchester Utd,0,1,1,ARSENE WENGER,1/10/1996,5/13/2018,188,0,0,0
11/27/2016,2016/2017,Arsenal,Bournemouth,1,3,1,ARSENE WENGER,1/10/1996,5/13/2018,189,0,0,0
12/3/2016,2016/2017,Arsenal,West Ham,0,5,1,ARSENE WENGER,1/10/1996,5/13/2018,190,0,0,0
12/10/2016,2016/2017,Arsenal,Stoke City,1,3,1,ARSENE WENGER,1/10/1996,5/13/2018,191,0,0,0
12/13/2016,2016/2017,Arsenal,Everton,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,192,0,0,0
12/18/2016,2016/2017,Arsenal,Manchester City,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,193,0,0,0
12/26/2016,2016/2017,Arsenal,West Brom,1,1,0,ARSENE WENGER,1/10/1996,5/13/2018,194,0,0,0
1/1/2017,2016/2017,Arsenal,Crystal Palace,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,195,0,0,0
1/3/2017,2016/2017,Arsenal,Bournemouth,0,3,3,ARSENE WENGER,1/10/1996,5/13/2018,196,0,0,0
1/14/2017,2016/2017,Arsenal,Swansea City,0,4,0,ARSENE WENGER,1/10/1996,5/13/2018,197,0,0,0
1/22/2017,2016/2017,Arsenal,Burnley,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,198,0,0,0
1/31/2017,2016/2017,Arsenal,Watford,1,1,2,ARSENE WENGER,1/10/1996,5/13/2018,199,0,0,0
2/4/2017,2016/2017,Arsenal,Chelsea,0,1,3,ARSENE WENGER,1/10/1996,5/13/2018,200,0,0,0
2/11/2017,2016/2017,Arsenal,Hull City,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,201,0,0,0
3/4/2017,2016/2017,Arsenal,Liverpool,0,1,3,ARSENE WENGER,1/10/1996,5/13/2018,202,0,0,0
3/18/2017,2016/2017,Arsenal,West Brom,0,1,3,ARSENE WENGER,1/10/1996,5/13/2018,203,0,0,0
4/2/2017,2016/2017,Arsenal,Manchester City,1,2,2,ARSENE WENGER,1/10/1996,5/13/2018,204,0,0,0
4/5/2017,2016/2017,Arsenal,West Ham,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,205,0,0,0
4/10/2017,2016/2017,Arsenal,Crystal Palace,0,0,3,ARSENE WENGER,1/10/1996,5/13/2018,206,0,0,0
4/17/2017,2016/2017,Arsenal,Middlesbrough,0,2,1,ARSENE WENGER,1/10/1996,5/13/2018,207,0,0,0
4/26/2017,2016/2017,Arsenal,Leicester City,1,1,0,ARSENE WENGER,1/10/1996,5/13/2018,208,0,0,0
4/30/2017,2016/2017,Arsenal,Tottenham,0,0,2,ARSENE WENGER,1/10/1996,5/13/2018,209,0,0,0
5/7/2017,2016/2017,Arsenal,Manchester Utd,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,210,0,0,0
5/10/2017,2016/2017,Arsenal,Southampton,0,2,0,ARSENE WENGER,1/10/1996,5/13/2018,211,0,0,0
5/13/2017,2016/2017,Arsenal,Stoke City,0,4,1,ARSENE WENGER,1/10/1996,5/13/2018,212,0,0,0
5/16/2017,2016/2017,Arsenal,Sunderland,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,213,0,0,0
5/21/2017,2016/2017,Arsenal,Everton,1,3,1,ARSENE WENGER,1/10/1996,5/13/2018,214,0,0,0
8/11/2017,2017/2018,Arsenal,Leicester City,1,4,3,ARSENE WENGER,1/10/1996,5/13/2018,215,0,0,0
8/19/2017,2017/2018,Arsenal,Stoke City,0,0,1,ARSENE WENGER,1/10/1996,5/13/2018,216,0,0,0
8/27/2017,2017/2018,Arsenal,Liverpool,0,0,4,ARSENE WENGER,1/10/1996,5/13/2018,217,0,0,0
9/9/2017,2017/2018,Arsenal,Bournemouth,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,218,0,0,0
9/17/2017,2017/2018,Arsenal,Chelsea,0,0,0,ARSENE WENGER,1/10/1996,5/13/2018,219,0,0,0
9/25/2017,2017/2018,Arsenal,West Brom,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,220,0,0,0
10/1/2017,2017/2018,Arsenal,Brighton,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,221,0,0,0
10/14/2017,2017/2018,Arsenal,Watford,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,222,0,0,0
10/22/2017,2017/2018,Arsenal,Everton,0,5,2,ARSENE WENGER,1/10/1996,5/13/2018,223,0,0,0
10/28/2017,2017/2018,Arsenal,Swansea City,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,224,0,0,0
11/5/2017,2017/2018,Arsenal,Manchester City,0,1,3,ARSENE WENGER,1/10/1996,5/13/2018,225,0,0,0
11/18/2017,2017/2018,Arsenal,Tottenham,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,226,0,0,0
11/26/2017,2017/2018,Arsenal,Burnley,0,1,0,ARSENE WENGER,1/10/1996,5/13/2018,227,0,0,0
11/29/2017,2017/2018,Arsenal,Huddersfield,1,5,0,ARSENE WENGER,1/10/1996,5/13/2018,228,0,0,0
12/2/2017,2017/2018,Arsenal,Manchester Utd,1,1,3,ARSENE WENGER,1/10/1996,5/13/2018,229,0,0,0
12/10/2017,2017/2018,Arsenal,Southampton,0,1,1,ARSENE WENGER,1/10/1996,5/13/2018,230,0,0,0
12/13/2017,2017/2018,Arsenal,West Ham,0,0,0,ARSENE WENGER,1/10/1996,5/13/2018,231,0,0,0
12/16/2017,2017/2018,Arsenal,Newcastle Utd,1,1,0,ARSENE WENGER,1/10/1996,5/13/2018,232,0,0,0
12/22/2017,2017/2018,Arsenal,Liverpool,1,3,3,ARSENE WENGER,1/10/1996,5/13/2018,233,0,0,0
12/28/2017,2017/2018,Arsenal,Crystal Palace,0,3,2,ARSENE WENGER,1/10/1996,5/13/2018,234,0,0,0
12/31/2017,2017/2018,Arsenal,West Brom,0,1,1,ARSENE WENGER,1/10/1996,5/13/2018,235,0,0,0
1/3/2018,2017/2018,Arsenal,Chelsea,1,2,2,ARSENE WENGER,1/10/1996,5/13/2018,236,0,0,0
1/14/2018,2017/2018,Arsenal,Bournemouth,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,237,0,0,0
1/20/2018,2017/2018,Arsenal,Crystal Palace,1,4,1,ARSENE WENGER,1/10/1996,5/13/2018,238,0,0,0
1/30/2018,2017/2018,Arsenal,Swansea City,0,1,3,ARSENE WENGER,1/10/1996,5/13/2018,239,0,0,0
2/3/2018,2017/2018,Arsenal,Everton,1,5,1,ARSENE WENGER,1/10/1996,5/13/2018,240,0,0,0
2/10/2018,2017/2018,Arsenal,Tottenham,0,0,1,ARSENE WENGER,1/10/1996,5/13/2018,241,0,0,0
3/1/2018,2017/2018,Arsenal,Manchester City,1,0,3,ARSENE WENGER,1/10/1996,5/13/2018,242,0,0,0
3/4/2018,2017/2018,Arsenal,Brighton,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,243,0,0,0
3/11/2018,2017/2018,Arsenal,Watford,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,244,0,0,0
4/1/2018,2017/2018,Arsenal,Stoke City,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,245,0,0,0
4/8/2018,2017/2018,Arsenal,Southampton,1,3,2,ARSENE WENGER,1/10/1996,5/13/2018,246,0,0,0
4/15/2018,2017/2018,Arsenal,Newcastle Utd,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,247,0,0,0
4/22/2018,2017/2018,Arsenal,West Ham,1,4,1,ARSENE WENGER,1/10/1996,5/13/2018,248,0,0,0
4/29/2018,2017/2018,Arsenal,Manchester Utd,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,249,0,0,0
5/6/2018,2017/2018,Arsenal,Burnley,1,5,0,ARSENE WENGER,1/10/1996,5/13/2018,250,0,0,0
5/9/2018,2017/2018,Arsenal,Leicester City,0,1,3,ARSENE WENGER,1/10/1996,5/13/2018,251,0,0,0
5/13/2018,2017/2018,Arsenal,Huddersfield,0,1,0,ARSENE WENGER,1/10/1996,5/13/2018,252,0,0,0
12/26/2019,2019/2020,Arsenal,Bournemouth,0,1,1,MIKEL ARTETA,12/22/2019,1/1/2100,1,1,0,0
12/29/2019,2019/2020,Arsenal,Chelsea,1,1,2,MIKEL ARTETA,12/22/2019,1/1/2100,2,1,0,0
1/1/2020,2019/2020,Arsenal,Manchester Utd,1,2,0,MIKEL ARTETA,12/22/2019,1/1/2100,3,1,0,0
1/11/2020,2019/2020,Arsenal,Crystal Palace,0,1,1,MIKEL ARTETA,12/22/2019,1/1/2100,4,0,1,0
1/18/2020,2019/2020,Arsenal,Sheffield Utd,1,1,1,MIKEL ARTETA,12/22/2019,1/1/2100,5,0,1,0
1/21/2020,2019/2020,Arsenal,Chelsea,0,2,2,MIKEL ARTETA,12/22/2019,1/1/2100,6,0,1,0
2/2/2020,2019/2020,Arsenal,Burnley,0,0,0,MIKEL ARTETA,12/22/2019,1/1/2100,7,0,0,1
2/16/2020,2019/2020,Arsenal,Newcastle Utd,1,4,0,MIKEL ARTETA,12/22/2019,1/1/2100,8,0,0,1
2/23/2020,2019/2020,Arsenal,Everton,1,3,2,MIKEL ARTETA,12/22/2019,1/1/2100,9,0,0,1
3/7/2020,2019/2020,Arsenal,West Ham,1,1,0,MIKEL ARTETA,12/22/2019,1/1/2100,10,0,0,1
6/17/2020,2019/2020,Arsenal,Manchester City,0,0,3,MIKEL ARTETA,12/22/2019,1/1/2100,11,0,0,0
6/20/2020,2019/2020,Arsenal,Brighton,0,1,2,MIKEL ARTETA,12/22/2019,1/1/2100,12,0,0,0
6/25/2020,2019/2020,Arsenal,Southampton,0,2,0,MIKEL ARTETA,12/22/2019,1/1/2100,13,0,0,0
7/1/2020,2019/2020,Arsenal,Norwich City,1,4,0,MIKEL ARTETA,12/22/2019,1/1/2100,14,0,0,0
7/4/2020,2019/2020,Arsenal,Wolves,0,2,0,MIKEL ARTETA,12/22/2019,1/1/2100,15,0,0,0
7/7/2020,2019/2020,Arsenal,Leicester City,1,1,1,MIKEL ARTETA,12/22/2019,1/1/2100,16,0,0,0
7/12/2020,2019/2020,Arsenal,Tottenham,0,1,2,MIKEL ARTETA,12/22/2019,1/1/2100,17,0,0,0
7/15/2020,2019/2020,Arsenal,Liverpool,1,2,1,MIKEL ARTETA,12/22/2019,1/1/2100,18,0,0,0
7/21/2020,2019/2020,Arsenal,Aston Villa,0,0,1,MIKEL ARTETA,12/22/2019,1/1/2100,19,0,0,0
7/26/2020,2019/2020,Arsenal,Watford,1,3,2,MIKEL ARTETA,12/22/2019,1/1/2100,20,0,0,0
9/12/2020,2020/2021,Arsenal,Fulham,0,3,0,MIKEL ARTETA,12/22/2019,1/1/2100,21,0,0,0
9/19/2020,2020/2021,Arsenal,West Ham,1,2,1,MIKEL ARTETA,12/22/2019,1/1/2100,22,0,0,0
9/28/2020,2020/2021,Arsenal,Liverpool,0,1,3,MIKEL ARTETA,12/22/2019,1/1/2100,23,0,0,0
10/4/2020,2020/2021,Arsenal,Sheffield Utd,1,2,1,MIKEL ARTETA,12/22/2019,1/1/2100,24,0,0,0
10/17/2020,2020/2021,Arsenal,Manchester City,0,0,1,MIKEL ARTETA,12/22/2019,1/1/2100,25,0,0,0
10/25/2020,2020/2021,Arsenal,Leicester City,1,0,1,MIKEL ARTETA,12/22/2019,1/1/2100,26,0,0,0
11/1/2020,2020/2021,Arsenal,Manchester Utd,0,1,0,MIKEL ARTETA,12/22/2019,1/1/2100,27,0,0,0
11/8/2020,2020/2021,Arsenal,Aston Villa,1,0,3,MIKEL ARTETA,12/22/2019,1/1/2100,28,0,0,0
11/22/2020,2020/2021,Arsenal,Leeds United,0,0,0,MIKEL ARTETA,12/22/2019,1/1/2100,29,0,0,0
11/29/2020,2020/2021,Arsenal,Wolves,1,1,2,MIKEL ARTETA,12/22/2019,1/1/2100,30,0,0,0
12/6/2020,2020/2021,Arsenal,Tottenham,0,0,2,MIKEL ARTETA,12/22/2019,1/1/2100,31,0,0,0
12/13/2020,2020/2021,Arsenal,Burnley,1,0,1,MIKEL ARTETA,12/22/2019,1/1/2100,32,0,0,0
12/16/2020,2020/2021,Arsenal,Southampton,1,1,1,MIKEL ARTETA,12/22/2019,1/1/2100,33,0,0,0
12/19/2020,2020/2021,Arsenal,Everton,0,1,2,MIKEL ARTETA,12/22/2019,1/1/2100,34,0,0,0
12/26/2020,2020/2021,Arsenal,Chelsea,1,3,1,MIKEL ARTETA,12/22/2019,1/1/2100,35,0,0,0
12/29/2020,2020/2021,Arsenal,Brighton,0,1,0,MIKEL ARTETA,12/22/2019,1/1/2100,36,0,0,0
1/2/2021,2020/2021,Arsenal,West Brom,0,4,0,MIKEL ARTETA,12/22/2019,1/1/2100,37,0,0,0
1/14/2021,2020/2021,Arsenal,Crystal Palace,1,0,0,MIKEL ARTETA,12/22/2019,1/1/2100,38,0,0,0
1/18/2021,2020/2021,Arsenal,Newcastle Utd,1,3,0,MIKEL ARTETA,12/22/2019,1/1/2100,39,0,0,0
1/26/2021,2020/2021,Arsenal,Southampton,0,3,1,MIKEL ARTETA,12/22/2019,1/1/2100,40,0,0,0
1/30/2021,2020/2021,Arsenal,Manchester Utd,1,0,0,MIKEL ARTETA,12/22/2019,1/1/2100,41,0,0,0
2/2/2021,2020/2021,Arsenal,Wolves,0,1,2,MIKEL ARTETA,12/22/2019,1/1/2100,42,0,0,0
2/6/2021,2020/2021,Arsenal,Aston Villa,0,0,1,MIKEL ARTETA,12/22/2019,1/1/2100,43,0,0,0
2/14/2021,2020/2021,Arsenal,Leeds United,1,4,2,MIKEL ARTETA,12/22/2019,1/1/2100,44,0,0,0
2/21/2021,2020/2021,Arsenal,Manchester City,1,0,1,MIKEL ARTETA,12/22/2019,1/1/2100,45,0,0,0
2/28/2021,2020/2021,Arsenal,Leicester City,0,3,1,MIKEL ARTETA,12/22/2019,1/1/2100,46,0,0,0
3/6/2021,2020/2021,Arsenal,Burnley,0,1,1,MIKEL ARTETA,12/22/2019,1/1/2100,47,0,0,0
3/14/2021,2020/2021,Arsenal,Tottenham,1,2,1,MIKEL ARTETA,12/22/2019,1/1/2100,48,0,0,0
3/21/2021,2020/2021,Arsenal,West Ham,0,3,3,MIKEL ARTETA,12/22/2019,1/1/2100,49,0,0,0
4/3/2021,2020/2021,Arsenal,Liverpool,1,0,3,MIKEL ARTETA,12/22/2019,1/1/2100,50,0,0,0
4/11/2021,2020/2021,Arsenal,Sheffield Utd,0,3,0,MIKEL ARTETA,12/22/2019,1/1/2100,51,0,0,0
4/18/2021,2020/2021,Arsenal,Fulham,1,1,1,MIKEL ARTETA,12/22/2019,1/1/2100,52,0,0,0
4/23/2021,2020/2021,Arsenal,Everton,1,0,1,MIKEL ARTETA,12/22/2019,1/1/2100,53,0,0,0
5/2/2021,2020/2021,Arsenal,Newcastle Utd,0,2,0,MIKEL ARTETA,12/22/2019,1/1/2100,54,0,0,0
5/9/2021,2020/2021,Arsenal,West Brom,1,3,1,MIKEL ARTETA,12/22/2019,1/1/2100,55,0,0,0
5/12/2021,2020/2021,Arsenal,Chelsea,0,1,0,MIKEL ARTETA,12/22/2019,1/1/2100,56,0,0,0
5/19/2021,2020/2021,Arsenal,Crystal Palace,0,3,1,MIKEL ARTETA,12/22/2019,1/1/2100,57,0,0,0
5/23/2021,2020/2021,Arsenal,Brighton,1,2,0,MIKEL ARTETA,12/22/2019,1/1/2100,58,0,0,0
8/13/2021,2021/2022,Arsenal,Brentford,0,0,2,MIKEL ARTETA,12/22/2019,1/1/2100,59,0,0,0
8/22/2021,2021/2022,Arsenal,Chelsea,1,0,2,MIKEL ARTETA,12/22/2019,1/1/2100,60,0,0,0
8/28/2021,2021/2022,Arsenal,Manchester City,0,0,5,MIKEL ARTETA,12/22/2019,1/1/2100,61,0,0,0
9/11/2021,2021/2022,Arsenal,Norwich City,1,1,0,MIKEL ARTETA,12/22/2019,1/1/2100,62,0,0,0
9/18/2021,2021/2022,Arsenal,Burnley,0,1,0,MIKEL ARTETA,12/22/2019,1/1/2100,63,0,0,0
9/26/2021,2021/2022,Arsenal,Tottenham,1,3,1,MIKEL ARTETA,12/22/2019,1/1/2100,64,0,0,0
10/2/2021,2021/2022,Arsenal,Brighton,0,0,0,MIKEL ARTETA,12/22/2019,1/1/2100,65,0,0,0
10/18/2021,2021/2022,Arsenal,Crystal Palace,1,2,2,MIKEL ARTETA,12/22/2019,1/1/2100,66,0,0,0
